Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1042367393898901.jpg,"[243, 232, 233]",14.8,"[25, 8, 28]",39.1,"[151, 105, 126]",15.64,4766,"[111.67243333333333, 85.51513333333334, 104.55555555555556]"
1045222473779793.jpg,"[183, 179, 189]",14.21,"[98, 105, 145]",13.86,"[235, 237, 241]",27.29,3788,"[130.09803333333332, 122.35132222222222, 146.48461111111112]"
1045330467169485.jpg,"[233, 233, 229]",12.31,"[56, 73, 157]",62.77,"[32, 30, 32]",15.89,1675,"[85.0644, 87.88562222222222, 141.72843333333333]"
1045730293883888.jpg,"[31, 90, 158]",30.43,"[244, 236, 235]",11.36,"[24, 26, 66]",27.44,4843,"[95.59734444444445, 93.23388888888888, 131.99153333333334]"
1046325206854941.jpg,"[21, 22, 44]",30.54,"[63, 75, 138]",48.75,"[248, 238, 236]",7.39,3672,"[78.37461111111111, 76.9306, 113.14923333333333]"
1046597420237787.jpg,"[224, 169, 108]",10.89,"[20, 25, 54]",35.59,"[242, 241, 242]",11.09,3720,"[90.58212222222222, 85.77381111111112, 101.18821111111112]"
1046982746790492.jpg,"[239, 241, 244]",55.02,"[36, 45, 82]",6.45,"[151, 142, 146]",12.8,2892,"[205.86062222222222, 187.43786666666668, 193.9822888888889]"
1049231390181560.jpg,"[239, 241, 244]",56.02,"[206, 40, 51]",10.18,"[154, 145, 149]",12.88,2881,"[206.74255555555555, 190.4214111111111, 196.77463333333333]"
1048581313720836.jpg,"[249, 188, 19]",14.44,"[3, 25, 68]",39.59,"[162, 116, 106]",9.85,3579,"[80.84544444444444, 79.86832222222222, 84.92918888888889]"
1049405713318016.jpg,"[36, 34, 76]",43.31,"[194, 167, 164]",8.41,"[203, 33, 50]",1.98,3768,"[87.04918888888889, 85.19205555555556, 123.20456666666666]"
1049567303180303.jpg,"[55, 39, 26]",10.67,"[253, 254, 236]",53.29,"[174, 117, 47]",14.44,2697,"[201.0999111111111, 195.56972222222223, 173.67915555555555]"
1050211470069883.jpg,"[205, 33, 48]",1.96,"[20, 20, 37]",25.93,"[244, 228, 223]",9.99,4625,"[104.99041111111111, 88.9166, 104.95003333333334]"
1050340646477075.jpg,"[36, 56, 119]",27.7,"[210, 31, 46]",9.3,"[2, 11, 38]",45.69,3463,"[59.062733333333334, 48.13863333333333, 80.20456666666666]"
1050557332846855.jpg,"[243, 242, 241]",12.73,"[41, 52, 89]",35.42,"[139, 175, 180]",16.57,4729,"[111.65698888888889, 115.4669, 124.7638]"
1052311756613279.jpg,"[26, 37, 73]",24.53,"[230, 174, 45]",5.12,"[211, 209, 234]",17.68,4895,"[103.42964444444445, 107.66423333333333, 148.15107777777777]"
1052325906471236.jpg,"[66, 80, 132]",23.5,"[164, 150, 160]",8.14,"[18, 27, 74]",39.21,4100,"[82.21472222222222, 72.01101111111112, 106.00638888888889]"
1052632999705919.jpg,"[127, 103, 113]",11.38,"[2, 11, 38]",45.68,"[227, 213, 205]",5.94,3463,"[59.062733333333334, 48.13863333333333, 80.20456666666666]"
1052667723191718.jpg,"[55, 54, 89]",30.28,"[243, 241, 243]",7.2,"[189, 169, 171]",6.88,4911,"[87.94512222222222, 77.14737777777778, 104.03927777777778]"
1056788089130792.jpg,"[4, 25, 68]",39.23,"[241, 146, 74]",12.43,"[144, 105, 113]",8.66,3964,"[71.7589, 69.44847777777778, 94.31676666666667]"
1058149782577342.jpg,"[158, 133, 51]",26.59,"[250, 248, 242]",21.87,"[42, 36, 12]",17.74,4561,"[148.4251111111111, 149.0671111111111, 122.87116666666667]"
1057851102057210.jpg,"[28, 39, 105]",49.49,"[151, 143, 162]",7.37,"[18, 22, 52]",27.31,4155,"[61.55918888888889, 62.2011, 103.94875555555555]"
1058390919013075.jpg,"[214, 172, 125]",25.0,"[33, 42, 73]",23.61,"[236, 237, 240]",7.53,4616,"[113.29658888888889, 96.9897, 89.3792111111111]"
1059619061696960.jpg,"[156, 106, 107]",10.31,"[10, 11, 24]",41.84,"[37, 42, 93]",32.2,3025,"[67.38254444444445, 47.65582222222222, 71.14528888888889]"
1061189202051928.jpg,"[37, 45, 83]",6.49,"[240, 241, 244]",54.41,"[207, 39, 50]",11.61,2824,"[206.47003333333333, 187.61922222222222, 194.17626666666666]"
